Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Afghanistan,AFG,MAL,Afghanistan,AFG,0
Afghanistan,AFG,MAL,Albania,ALB,0
Afghanistan,AFG,MAL,Algeria,DZA,6
Afghanistan,AFG,MAL,American Samoa,ASM,0
Afghanistan,AFG,MAL,Andorra,AND,1
Afghanistan,AFG,MAL,Angola,AGO,0
Afghanistan,AFG,MAL,Anguilla,AIA,0
Afghanistan,AFG,MAL,Antigua and Barbuda,ATG,0
Afghanistan,AFG,MAL,Argentina,ARG,6
Afghanistan,AFG,MAL,Armenia,ARM,0
Afghanistan,AFG,MAL,Aruba,ABW,0
Afghanistan,AFG,MAL,Australia,AUS,399
Afghanistan,AFG,MAL,Austria,AUT,112
Afghanistan,AFG,MAL,Azerbaijan,AZE,0
Afghanistan,AFG,MAL,"Bahamas, The",BHS,1
Afghanistan,AFG,MAL,Bahrain,BHR,10690
Afghanistan,AFG,MAL,Bangladesh,BGD,107
Afghanistan,AFG,MAL,Barbados,BRB,0
Afghanistan,AFG,MAL,Belarus,BLR,0
Afghanistan,AFG,MAL,Belgium,BEL,26
Afghanistan,AFG,MAL,Belize,BLZ,0
Afghanistan,AFG,MAL,Benin,BEN,0
Afghanistan,AFG,MAL,Bermuda,BMU,1
Afghanistan,AFG,MAL,Bhutan,BTN,0
Afghanistan,AFG,MAL,Bolivia,BOL,0
Afghanistan,AFG,MAL,Bosnia and Herzegovina,BIH,0
Afghanistan,AFG,MAL,Botswana,BWA,0
Afghanistan,AFG,MAL,Brazil,BRA,0
Afghanistan,AFG,MAL,Brunei Darussalam,BRN,0
Afghanistan,AFG,MAL,Bulgaria,BGR,123
Afghanistan,AFG,MAL,Burkina Faso,BFA,0
Afghanistan,AFG,MAL,Burundi,BDI,0
Afghanistan,AFG,MAL,Cambodia,KHM,0
Afghanistan,AFG,MAL,Cameroon,CMR,0
Afghanistan,AFG,MAL,Canada,CAN,2996
Afghanistan,AFG,MAL,Cape Verde,CPV,0
Afghanistan,AFG,MAL,Cayman Islands,CYM,0
Afghanistan,AFG,MAL,Central African Republic,CAF,0
Afghanistan,AFG,MAL,Chad,TCD,0
Afghanistan,AFG,MAL,Channel Islands,CHI,..
Afghanistan,AFG,MAL,Chile,CHL,0
Afghanistan,AFG,MAL,China,CHN,0
Afghanistan,AFG,MAL,Colombia,COL,0
Afghanistan,AFG,MAL,Comoros,COM,0
Afghanistan,AFG,MAL,"Congo, Dem. Rep.",COD,2
Afghanistan,AFG,MAL,"Congo, Rep.",COG,0
Afghanistan,AFG,MAL,Cook Islands,COK,0
Afghanistan,AFG,MAL,Costa Rica,CRI,11
Afghanistan,AFG,MAL,Cote d'Ivoire,CIV,0
Afghanistan,AFG,MAL,Croatia,HRV,0
Afghanistan,AFG,MAL,Cuba,CUB,0
Afghanistan,AFG,MAL,Cyprus,CYP,9
Afghanistan,AFG,MAL,Czech Republic,CZE,1
Afghanistan,AFG,MAL,Denmark,DNK,30
Afghanistan,AFG,MAL,Djibouti,DJI,0
Afghanistan,AFG,MAL,Dominica,DMA,0
Afghanistan,AFG,MAL,Dominican Republic,DOM,3
Afghanistan,AFG,MAL,Ecuador,ECU,0
Afghanistan,AFG,MAL,"Egypt, Arab Rep.",EGY,2642
Afghanistan,AFG,MAL,El Salvador,SLV,0
Afghanistan,AFG,MAL,Equatorial Guinea,GNQ,0
Afghanistan,AFG,MAL,Eritrea,ERI,0
Afghanistan,AFG,MAL,Estonia,EST,0
Afghanistan,AFG,MAL,Ethiopia,ETH,0
Afghanistan,AFG,MAL,Faeroe Islands,FRO,8
Afghanistan,AFG,MAL,Falkland Islands (Malvinas),FLK,0
Afghanistan,AFG,MAL,Fiji,FJI,4
Afghanistan,AFG,MAL,Finland,FIN,2
Afghanistan,AFG,MAL,France,FRA,55
Afghanistan,AFG,MAL,French Guiana,GUF,0
Afghanistan,AFG,MAL,French Polynesia,PYF,0
Afghanistan,AFG,MAL,Gabon,GAB,0
Afghanistan,AFG,MAL,"Gambia, The",GMB,0
Afghanistan,AFG,MAL,Georgia,GEO,0
Afghanistan,AFG,MAL,Germany,DEU,360
Afghanistan,AFG,MAL,Ghana,GHA,0
Afghanistan,AFG,MAL,Gibraltar,GIB,0
Afghanistan,AFG,MAL,Greece,GRC,25
Afghanistan,AFG,MAL,Greenland,GRL,0
Afghanistan,AFG,MAL,Grenada,GRD,0
Afghanistan,AFG,MAL,Guadeloupe,GLP,0
Afghanistan,AFG,MAL,Guam,GUM,0
Afghanistan,AFG,MAL,Guatemala,GTM,0
Afghanistan,AFG,MAL,Guinea,GIN,0
Afghanistan,AFG,MAL,Guinea-Bissau,GNB,0
Afghanistan,AFG,MAL,Guyana,GUY,0
Afghanistan,AFG,MAL,Haiti,HTI,0
Afghanistan,AFG,MAL,Honduras,HND,0
Afghanistan,AFG,MAL,"Hong Kong SAR, China",HKG,2
Afghanistan,AFG,MAL,Hungary,HUN,58
Afghanistan,AFG,MAL,Iceland,ISL,0
Afghanistan,AFG,MAL,India,IND,3233
Afghanistan,AFG,MAL,Indonesia,IDN,8
Afghanistan,AFG,MAL,"Iran, Islamic Rep.",IRN,157564
Afghanistan,AFG,MAL,Iraq,IRQ,80
Afghanistan,AFG,MAL,Ireland,IRL,7
Afghanistan,AFG,MAL,Isle of Man,IMN,..
Afghanistan,AFG,MAL,Israel,ISR,9
Afghanistan,AFG,MAL,Italy,ITA,144
Afghanistan,AFG,MAL,Jamaica,JAM,0
Afghanistan,AFG,MAL,Japan,JPN,5
Afghanistan,AFG,MAL,Jordan,JOR,82
Afghanistan,AFG,MAL,Kazakhstan,KAZ,0
Afghanistan,AFG,MAL,Kenya,KEN,29
Afghanistan,AFG,MAL,Kiribati,KIR,0
Afghanistan,AFG,MAL,"Korea, Dem. Rep.",PRK,0
Afghanistan,AFG,MAL,"Korea, Rep.",KOR,0
Afghanistan,AFG,MAL,Kosovo,XKX,..
Afghanistan,AFG,MAL,Kuwait,KWT,1126
Afghanistan,AFG,MAL,Kyrgyz Republic,KGZ,0
Afghanistan,AFG,MAL,Lao PDR,LAO,0
Afghanistan,AFG,MAL,Latvia,LVA,0
Afghanistan,AFG,MAL,Lebanon,LBN,72
Afghanistan,AFG,MAL,Lesotho,LSO,0
Afghanistan,AFG,MAL,Liberia,LBR,0
Afghanistan,AFG,MAL,Libya,LBY,283
Afghanistan,AFG,MAL,Liechtenstein,LIE,0
Afghanistan,AFG,MAL,Lithuania,LTU,0
Afghanistan,AFG,MAL,Luxembourg,LUX,2
Afghanistan,AFG,MAL,"Macao SAR, China",MAC,2
Afghanistan,AFG,MAL,"Macedonia, FYR",MKD,0
