,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,2000
231,Afghanistan,AFG,MAL,Afghanistan,AFG,0
232,Afghanistan,AFG,MAL,Albania,ALB,0
233,Afghanistan,AFG,MAL,Algeria,DZA,4
234,Afghanistan,AFG,MAL,American Samoa,ASM,0
235,Afghanistan,AFG,MAL,Andorra,AND,3
236,Afghanistan,AFG,MAL,Angola,AGO,0
237,Afghanistan,AFG,MAL,Anguilla,AIA,0
238,Afghanistan,AFG,MAL,Antigua and Barbuda,ATG,0
239,Afghanistan,AFG,MAL,Argentina,ARG,0
240,Afghanistan,AFG,MAL,Armenia,ARM,3
241,Afghanistan,AFG,MAL,Aruba,ABW,0
242,Afghanistan,AFG,MAL,Australia,AUS,6679
243,Afghanistan,AFG,MAL,Austria,AUT,1634
244,Afghanistan,AFG,MAL,Azerbaijan,AZE,0
245,Afghanistan,AFG,MAL,"Bahamas, The",BHS,0
246,Afghanistan,AFG,MAL,Bahrain,BHR,24366
247,Afghanistan,AFG,MAL,Bangladesh,BGD,145
248,Afghanistan,AFG,MAL,Barbados,BRB,0
249,Afghanistan,AFG,MAL,Belarus,BLR,0
250,Afghanistan,AFG,MAL,Belgium,BEL,98
251,Afghanistan,AFG,MAL,Belize,BLZ,1
252,Afghanistan,AFG,MAL,Benin,BEN,0
253,Afghanistan,AFG,MAL,Bermuda,BMU,3
254,Afghanistan,AFG,MAL,Bhutan,BTN,0
255,Afghanistan,AFG,MAL,Bolivia,BOL,2
256,Afghanistan,AFG,MAL,Bosnia and Herzegovina,BIH,1
257,Afghanistan,AFG,MAL,Botswana,BWA,0
258,Afghanistan,AFG,MAL,Brazil,BRA,17
259,Afghanistan,AFG,MAL,Brunei Darussalam,BRN,0
260,Afghanistan,AFG,MAL,Bulgaria,BGR,566
261,Afghanistan,AFG,MAL,Burkina Faso,BFA,0
262,Afghanistan,AFG,MAL,Burundi,BDI,0
263,Afghanistan,AFG,MAL,Cambodia,KHM,2
264,Afghanistan,AFG,MAL,Cameroon,CMR,0
265,Afghanistan,AFG,MAL,Canada,CAN,11263
266,Afghanistan,AFG,MAL,Cape Verde,CPV,0
267,Afghanistan,AFG,MAL,Cayman Islands,CYM,0
268,Afghanistan,AFG,MAL,Central African Republic,CAF,0
